Time: 15:24 06/05/2023
PID: 69	 PPID: 2	 Name: writeback	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 14	Vmemory: 0	CMD: writeback	Memory: 0.00 MB	CPU: 0.00%
PID: 70	 PPID: 2	 Name: kcompactd0	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 18	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 14	Vmemory: 0	CMD: kcompactd0	Memory: 0.00 MB	CPU: 0.01%
PID: 71	 PPID: 2	 Name: ksmd	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 25	Nice: 5	Threads: 1	Start: 14	Vmemory: 0	CMD: ksmd	Memory: 0.00 MB	CPU: 0.00%
PID: 72	 PPID: 2	 Name: khugepaged	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 3	Priority: 39	Nice: 19	Threads: 1	Start: 14	Vmemory: 0	CMD: khugepaged	Memory: 0.00 MB	CPU: 0.00%
PID: 73	 PPID: 2	 Name: kintegrityd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 14	Vmemory: 0	CMD: kintegrityd	Memory: 0.00 MB	CPU: 0.00%
PID: 74	 PPID: 2	 Name: kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 14	Vmemory: 0	CMD: kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 75	 PPID: 2	 Name: blkcg_punt_bio	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 14	Vmemory: 0	CMD: blkcg_punt_bio	Memory: 0.00 MB	CPU: 0.00%
PID: 78	 PPID: 2	 Name: tpm_dev_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 28	Vmemory: 0	CMD: tpm_dev_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 80	 PPID: 2	 Name: ata_sff	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 28	Vmemory: 0	CMD: ata_sff	Memory: 0.00 MB	CPU: 0.00%
PID: 81	 PPID: 2	 Name: md	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 28	Vmemory: 0	CMD: md	Memory: 0.00 MB	CPU: 0.00%
PID: 82	 PPID: 2	 Name: edac-poller	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 28	Vmemory: 0	CMD: edac-poller	Memory: 0.00 MB	CPU: 0.00%
PID: 83	 PPID: 2	 Name: devfreq_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 28	Vmemory: 0	CMD: devfreq_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 84	 PPID: 2	 Name: watchdogd	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 30	Vmemory: 0	CMD: watchdogd	Memory: 0.00 MB	CPU: 0.00%
PID: 86	 PPID: 2	 Name: kworker/7:1H-kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 113	Priority: 0	Nice: -20	Threads: 1	Start: 32	Vmemory: 0	CMD: kworker/7:1H-kblockd	Memory: 0.00 MB	CPU: 0.06%
PID: 87	 PPID: 2	 Name: kswapd0	 State: S	 TTYGID: -1	 Flags: 2230336	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 32	Vmemory: 0	CMD: kswapd0	Memory: 0.00 MB	CPU: 0.00%
PID: 88	 PPID: 2	 Name: ecryptfs-kthread	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 32	Vmemory: 0	CMD: ecryptfs-kthread	Memory: 0.00 MB	CPU: 0.00%
PID: 95	 PPID: 2	 Name: kthrotld	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 61	Vmemory: 0	CMD: kthrotld	Memory: 0.00 MB	CPU: 0.00%
PID: 101	 PPID: 2	 Name: irq/123-aerdrv	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 61	Vmemory: 0	CMD: irq/123-aerdrv	Memory: 0.00 MB	CPU: 0.00%
PID: 102	 PPID: 2	 Name: irq/125-aerdrv	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 61	Vmemory: 0	CMD: irq/125-aerdrv	Memory: 0.00 MB	CPU: 0.00%
PID: 106	 PPID: 2	 Name: acpi_thermal_pm	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 62	Vmemory: 0	CMD: acpi_thermal_pm	Memory: 0.00 MB	CPU: 0.00%
PID: 107	 PPID: 2	 Name: xenbus_probe	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 62	Vmemory: 0	CMD: xenbus_probe	Memory: 0.00 MB	CPU: 0.00%
PID: 108	 PPID: 2	 Name: vfio-irqfd-clea	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 63	Vmemory: 0	CMD: vfio-irqfd-clea	Memory: 0.00 MB	CPU: 0.00%
PID: 109	 PPID: 2	 Name: mld	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 67	Vmemory: 0	CMD: mld	Memory: 0.00 MB	CPU: 0.00%
PID: 110	 PPID: 2	 Name: kworker/3:1H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 42	Priority: 0	Nice: -20	Threads: 1	Start: 67	Vmemory: 0	CMD: kworker/3:1H-events_highpri	Memory: 0.00 MB	CPU: 0.02%
