Time: 17:57 07/05/2023
PID: 142	 PPID: 2	 Name: ipv6_addrconf	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 47	Vmemory: 0	CMD: ipv6_addrconf	Memory: 0.00 MB	CPU: 0.00%
PID: 145	 PPID: 2	 Name: kworker/7:1-events	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 199	Priority: 20	Nice: 0	Threads: 1	Start: 48	Vmemory: 0	CMD: kworker/7:1-events	Memory: 0.00 MB	CPU: 0.18%
PID: 152	 PPID: 2	 Name: kstrp	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 48	Vmemory: 0	CMD: kstrp	Memory: 0.00 MB	CPU: 0.00%
PID: 156	 PPID: 2	 Name: zswap-shrink	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 49	Vmemory: 0	CMD: zswap-shrink	Memory: 0.00 MB	CPU: 0.00%
PID: 158	 PPID: 2	 Name: kworker/u17:0	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 49	Vmemory: 0	CMD: kworker/u17:0	Memory: 0.00 MB	CPU: 0.00%
PID: 163	 PPID: 2	 Name: charger_manager	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 49	Vmemory: 0	CMD: charger_manager	Memory: 0.00 MB	CPU: 0.00%
PID: 217	 PPID: 2	 Name: kworker/2:1H-radeon-crtc	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 50	Priority: 0	Nice: -20	Threads: 1	Start: 77	Vmemory: 0	CMD: kworker/2:1H-radeon-crtc	Memory: 0.00 MB	CPU: 0.04%
PID: 221	 PPID: 2	 Name: scsi_eh_0	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 84	Vmemory: 0	CMD: scsi_eh_0	Memory: 0.00 MB	CPU: 0.00%
PID: 222	 PPID: 2	 Name: scsi_tmf_0	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 84	Vmemory: 0	CMD: scsi_tmf_0	Memory: 0.00 MB	CPU: 0.00%
PID: 223	 PPID: 2	 Name: scsi_eh_1	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 84	Vmemory: 0	CMD: scsi_eh_1	Memory: 0.00 MB	CPU: 0.00%
PID: 224	 PPID: 2	 Name: scsi_tmf_1	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 84	Vmemory: 0	CMD: scsi_tmf_1	Memory: 0.00 MB	CPU: 0.00%
